genus species body_mass metabolic_rate mass_specific_metabolic_rate brain_size common_name maximum_longevity_yrs data_quality body_mass_AnAge metabolic_rate_AnAge
Conepatus chinga 1.918 NA NA 0.01632 "Molina's hog-nosed skunk" 10 acceptable NA NA
Conepatus leuconotus 3.5 NA NA 0.01852 "Hog-nosed skunk" 10.2 acceptable NA NA
Mephitis mephitis 1.7 NA NA 0.01175 "Striped skunk" 13.9 acceptable NA NA
Mydaus marchei 1.414 NA NA 0.01487 NA NA NA NA NA
Spilogale gracilis 0.42 NA NA 0.00681 NA NA NA NA NA
Spilogale putorius 0.341 NA NA 0.00733 "Eastern spotted skunk" 10.5 acceptable 624 1.674
Galictis cuja 1 NA NA 0.02352 "Lesser grison" 10.2 acceptable NA NA
Ictonyx striatus 1.3 NA NA 0.00817 "Striped polecat" 14 acceptable NA NA
Mellivora capensis 9 NA NA 0.08604 "Honey badger" 31.3 acceptable NA NA
Mustela erminea 0.156 NA NA 0.00342 Ermine 12.5 acceptable 125.5 1.276
Poecilogale albinucha 0.34 NA NA 0.00456 "African striped weasel" NA low NA NA
Taxidea taxus 6 NA NA 0.056 "American badger" 25 acceptable 9000 15.062
Vormela peregusna 0.45 NA NA 0.00653 "Marbled polecat" 8.8 acceptable NA NA
Bassaricyon alleni 1.235 NA NA 0.01937 "Allen's olingo" 25.2 acceptable NA NA
Paguma larvata 4.3 NA NA 0.02647 "Masked palm civet" 27.4 acceptable NA NA
Viverra tangalunga 10 NA NA 0.02725 "Malayan civet" 15 questionable NA NA
Euphractus sexcinctus 7.99 NA NA 0.02137 "Six-banded armadillo" 22.1 acceptable 8190 6.901
Tolypeutes matacus 1.2 NA NA 0.00886 "Southern three-banded armadillo" 36.8 acceptable 1160 1.172
Zaedyus pichiy 1.74 NA NA 0.00798 Pichi 12.5 acceptable 1740 2.192
Atelerix albiventris 0.28 NA NA 0.00176 "Four-toed hedgehog" 11.4 high 450 0.828
Echinosorex gymnura 0.957 NA NA 0.0055 Moonrat NA low 721.2 2.816
Mesechinus dauuricus 0.342 NA NA 0.0029 NA NA NA NA NA
Manis pentadactyla 4.675 NA NA 0.01764 "Chinese pangolin" NA low 3637.5 3.727
Manis tricuspis 2.067 NA NA 0.0093 NA NA NA NA NA
Clyomys laticeps 0.201 NA NA 0.00352 NA NA NA NA NA
Echimys chrysurus 0.652 NA NA 0.00502 NA NA NA NA NA
Makalata didelphoides 0.108 NA NA 0.00345 "Red-nosed armored tree-rat" NA low NA NA
Makalata macrura 0.439 NA NA 0.00389 NA NA NA NA NA
Mesomys hispidus 0.175 NA NA 0.00264 NA NA NA NA NA
Proechimys brevicauda 0.285 NA NA 0.00295 "Andean spiny rat. Short-tailed spiny-rat" 6.8 acceptable NA NA
Coendou prehensilis 4.4 NA NA 0.01673 "Prehensile-tailed porcupine" 26.6 acceptable 3280 5.123
Coendou rothschildi 2 NA NA 0.02085 NA NA NA NA NA
Sphiggurus vestitus 0.736 NA NA 0.01171 NA NA NA NA NA
Atherurus macrourus 2 NA NA 0.03157 "Asiatic brush-tailed porcupine" NA low NA NA
Hystrix africaeaustralis 14.936 NA NA 0.03571 "Cape porcupine" 23.1 acceptable 11300 13.175
Hystrix brachyura 8 NA NA 0.03764 "Malayan porcupine" 27.3 acceptable NA NA
Hystrix cristata 20 NA NA 0.04955 "African porcupine" 28 acceptable NA NA
Hystrix indica 14.65 NA NA 0.04407 "Indian crested porcupine" 27.1 acceptable NA NA
Hystrix sumatrae 3.26 NA NA 0.02704 "Sumatran porcupine" NA low NA NA
Trichys fasciculata 1.56 NA NA 0.01305 "Long-tailed porcupine" NA low NA NA
Saguinus oedipus 0.32714 NA NA 0.00964 "Cotton-top tamarin" 26.2 high NA NA
Ursus arctos 131.02267 NA NA 0.33597 "Brown bear" 40 acceptable NA NA
Pan troglodytes 60.43316 NA NA 0.35481 Chimpanzee 59.4 acceptable NA NA
Saguinus geoffroyi 0.63467 NA NA 0.01427 "Geoffroy's tamarin" 20.5 acceptable 225 1.305
Panthera tigris 195 NA NA 0.26973 Tiger 26.3 high 137900 133.859
Tamandua tetradactyla 4.361 NA NA 0.0275 "Southern tamandua" 19 acceptable 3500 5.015
Pongo pygmaeus 54.22904 NA NA 0.34199 Orangutan 59 acceptable NA NA
Hylobates muelleri 5.95488 NA NA 0.09531 "Borneo gibbon" 60 acceptable NA NA
Hylobates syndactylus 12.172 NA NA 0.1348 NA NA NA NA NA
Gorilla gorilla 120.975 NA NA 0.45455 Gorilla 60.1 acceptable NA NA
Damaliscus pygargus 62.5 NA NA 0.2546 "Sassaby or blesbok" 23 high NA NA
Homo sapiens 65.14286 NA NA 1.25043 Human 122.5 high 70000 82.78
Rhynchocyon petersi 0.37 NA NA 0.0054 NA NA NA NA NA
Cercocebus agilis 4.7 NA NA 0.0953 "Agile mangabey" 31 acceptable NA NA
Mandrillus sphinx 11.5 NA NA 0.1592 Mandrill 40 high NA NA
Saimiri boliviensis 0.75 NA NA 0.02406 "Bolivian squirrel monkey" 30.3 acceptable NA NA
Trachypithecus francoisi 9.1 NA NA 0.0944 "Fran?ois's leaf monkey" 26.3 acceptable NA NA
Colobus guereza 10.28125 NA NA 0.0839 Guereza 35 high 10623.6 17.037
Colobus angolensis 9.67 NA NA 0.0744 "Angolan colobus" 35.3 acceptable NA NA
Tragelaphus eurycerus 253 NA NA 0.389 Bongo 21.9 high NA NA
Tarsius bancanus 0.0776 NA NA 0.0027 NA NA NA NA NA
Nycticebus pygmaeus 0.48 NA NA 0.0078 "Pygmy slow loris" 19.3 acceptable NA NA
Choloepus didactylus 5.07 NA NA 0.0282 "Southern two-toed sloth" 36.8 acceptable NA NA
Macropus parma 3.76 NA NA 0.0174 "Parma wallaby" 15.9 high NA NA
Wallabia bicolor 16.4 NA NA 0.0327 "Swamp wallaby" 16.8 acceptable NA NA
Nycticebus coucang 0.6555 NA NA 0.01274 "Slow loris" 25.8 acceptable 1128.6 1.504
Perodicticus potto 0.92933 NA NA 0.012070000000000001 Potto 32.4 acceptable 968.6 1.942
Macaca maura 6.846 NA NA 0.09448 "Moor macaque" 33 acceptable NA NA
Leontopithecus rosalia 0.51238 NA NA 0.01305 "Golden lion tamarin" 31.6 high NA NA
Alouatta caraya 5.0125 NA NA 0.0507 "Black howler monkey" 32.4 acceptable NA NA
Lemur catta 2.09 NA NA 0.02163 "Ring-tailed lemur" 37.3 high NA NA
Erythrocebus patas 7.376 NA NA 0.1002 "Patas monkey" 28.3 acceptable 3000 5.958
Callithrix pygmaea 0.13475 NA NA 0.00464 NA NA NA NA NA
Loris tardigradus 0.322 NA NA 0.006 "Slender loris" 21.6 acceptable 284 0.714
Cheirogaleus medius 0.17967 NA NA 0.00334 "Fat-tailed dwarf lemur" 29 acceptable 300 1.088
Dasyurus spartacus 0.487 NA NA 0.0054908 NA NA NA NA NA
Thylamys pallidior 0.0207 NA NA 7.4592e-4 NA NA NA NA NA
Petaurus biacensis 0.0845 NA NA 0.00174048 NA NA NA NA NA
Petaurus abidi 0.284 NA NA 0.00396788 NA NA NA NA NA
Phalanger rothschildi 1.244 NA NA 0.00636104 NA NA NA NA NA
Strigocuscus pelengensis 0.991 NA NA 0.00644392 NA NA NA NA NA
Phalanger intercastellanus 1.434 NA NA 0.0076146 NA NA NA NA NA
Spilocuscus kraemeri 1.547 NA NA 0.011914 NA NA NA NA NA
Rhynchomeles prattorum 0.907 NA NA 0.0050764 NA NA NA NA NA
Planigale tenuirostris 0.0039 NA NA 1.4504e-4 "Narrow-nosed planigale" 5.2 acceptable 7.1 0.063
Planigale ingrami 0.0041 NA NA 1.554e-4 "Long-tailed planigale" NA low 8.8 0.065
Planigale gilesi 0.0061 NA NA 1.7612e-4 "Paucident planigale" NA low 9.1 0.058
Planigale maculata 0.0067 NA NA 2.072e-4 "Pygmy planigale" 5.8 acceptable 10.6 0.067
Ningaui ridei 0.004 NA NA 2.4864e-4 "Wongai ningaui" NA low NA NA
Ningaui yvonneae 0.0078 NA NA 2.6936e-4 NA NA NA NA NA
Planigale novaeguineae 0.0086 NA NA 2.7972e-4 NA NA NA NA NA
Sminthopsis virginiae 0.0105 NA NA 3.5224e-4 "Red-cheeked dunnart" 5.3 acceptable NA NA
Sminthopsis bindi 0.0136 NA NA 3.626e-4 NA NA NA NA NA
Sminthopsis douglasi 0.0171 NA NA 3.626e-4 "Julia Creek dunnart" NA low NA NA
Sminthopsis crassicaudata 0.0133 NA NA 3.7296e-4 "Fat-tailed dunnart" 5 acceptable 16 0.121
Sminthopsis macroura 0.017 NA NA 4.144e-4 "Stripe-faced dunnart" 4.9 acceptable 20.6 0.128
Sminthopsis hirtipes 0.009 NA NA 4.2476e-4 NA NA NA NA NA
Sminthopsis leucopus 0.0124 NA NA 4.2476e-4 NA NA NA NA NA
Parantechinus roryi 0.0166 NA NA 4.3512e-4 NA NA NA NA NA
Sminthopsis murina 0.0159 NA NA 4.5584e-4 NA NA NA NA NA
Antechinomys laniger 0.0178 NA NA 4.8692e-4 Kultarr 3.5 acceptable 25.8 0.141
Sminthopsis griseoventer 0.0198 NA NA 5.0764e-4 "Gray-bellied dunnart" 3.6 acceptable NA NA
Parantechinus macdonnellensis 0.024 NA NA 5.0764e-4 NA NA NA NA NA
Parantechinus rosamondae 0.0199 NA NA 5.5944e-4 NA NA NA NA NA
Antechinus agilis 0.0221 NA NA 5.8016e-4 "Agile antechinus" 4.7 acceptable NA NA
Antechinus bellus 0.0458 NA NA 6.5268e-4 "Fawn antechinus" 3.4 acceptable NA NA
Antechinus flavipes 0.0307 NA NA 6.6304e-4 "Yellow-footed antechinus" 3.9 acceptable 46.5 0.252
Parantechinus bilarni 0.0294 NA NA 6.734e-4 NA NA NA NA NA
Antechinus melanurus 0.0258 NA NA 6.734e-4 NA NA NA NA NA
Antechinus subtropicus 0.0291 NA NA 7.4592e-4 NA NA NA NA NA
Antechinus minimus 0.0363 NA NA 7.6664e-4 "Swamp antechinus" NA low NA NA
Antechinus leo 0.0602 NA NA 7.77e-4 "Cinnamon antechinus" NA low NA NA
Antechinus stuartii 0.0298 NA NA 7.8736e-4 "Brown antechinus" 5.4 acceptable 25 0.189
Antechinus naso 0.0363 NA NA 7.9772e-4 NA NA NA NA NA
Phascogale calura 0.0438 NA NA 9.4276e-4 "Red-tailed phascogale" 4.7 acceptable NA NA
Antechinus swainsonii 0.0635 NA NA 0.00112924 "Dusky antechinus" 3.3 acceptable 66.9 0.351
Murexia rothschildi 0.062 NA NA 0.0010878 NA NA NA NA NA
Phascolosorex dorsalis 0.0475 NA NA 0.00114996 NA NA NA NA NA
Parantechinus apicalis 0.0605 NA NA 0.0012432 "Southern dibbler" 5.5 acceptable NA NA
Dasycercus cristicauda 0.07 NA NA 0.00128464 Mulgara 7.4 acceptable 91 0.26
Dasyuroides byrnei 0.0984 NA NA 0.001554 Kowari 8 acceptable 100 0.439
Murexia longicaudata 0.2965 NA NA 0.00174048 NA NA NA NA NA
Phascogale tapoatafa 0.15 NA NA 0.00187516 "Brush-tailed phascogale" 5.9 acceptable 153.7 0.694
Myoictis melas 0.1311 NA NA 0.0021238 NA NA NA NA NA
Neophascogale lorentzi 0.2064 NA NA 0.0025382 NA NA NA NA NA
Dasyurus hallucatus 0.513 NA NA 0.00350168 "Northern quoll" 5.9 acceptable 571 1.501
Dasyurus albopunctatus 0.403 NA NA 0.00392644 NA NA NA NA NA
Myrmecobius fasciatus 0.4054 NA NA 0.004403 Numbat 11 acceptable 438.2 0.907
Dasyurus geoffroii 0.76 NA NA 0.00535612 "Western quoll" 6.2 acceptable 1326.7 2.991
Dasyurus viverrinus 0.813 NA NA 0.00552188 "Eastern quoll" 6.8 acceptable 945.3 2.26
Dasyurus maculatus 2.599 NA NA 0.00974876 "Australian tiger cat" 6.8 acceptable 1782 3.142
Sarcophilus harrisii 7.43 NA NA 0.01666924 "Tasmanian devil" 13 acceptable 6126.8 8.664
Thylacinus cynocephalus 28.496 NA NA 0.05303284 NA NA NA NA NA
Marmosa elegans 0.0201 NA NA 7.3556e-4 NA NA NA NA NA
Thylamys elegans 0.025 NA NA 7.3556e-4 NA NA NA NA NA
Monodelphis brevicaudata 0.0646 NA NA 9.324e-4 "Short bare-tailed opossum" 3.9 acceptable 91.5 0.366
Marmosa mexicana 0.0467 NA NA 0.001036 "Mexican mouse opossum" NA low NA NA
Marmosa murina 0.06 NA NA 0.0011396 "Murine mouse opossum" 3.6 questionable NA NA
Marmosa rubra 0.06 NA NA 0.0012432 NA NA NA NA NA
Caluromys derbianus 0.289 NA NA 0.0035224 "Central American woolly opossum" 8.7 acceptable 342.7 1.194
Caluromys philander 0.277 NA NA 0.003626 "Bare-tailed woolly opossum" 8.9 acceptable NA NA
Metachirus nudicaudatus 0.39 NA NA 0.003626 "Brown four-eyed opossum" 3 acceptable 336 1.144
Philander opossum 0.57 NA NA 0.00396788 "Gray four-eyed opossum" 4.4 acceptable 751 1.886
Didelphis marsupialis 2.842 NA NA 0.0065786 "Southern opossum" 4.2 acceptable 1244.3 3.31
Didelphis virginiana 2.797 NA NA 0.00696192 "Virginia opossum" 6.6 acceptable 2846.6 5.299
Cercartetus concinnus 0.0095 NA NA 3.108e-4 NA NA NA NA NA
Acrobates pygmaeus 0.0089 NA NA 3.626e-4 "Pygmy gliding possum" 8.8 high 14 0.084
Cercartetus lepidus 0.0078 NA NA 3.7296e-4 NA NA NA NA NA
Tarsipes rostratus 0.009 NA NA 3.7296e-4 "Honey possum" NA low 10 0.162
Cercartetus nanus 0.012 NA NA 4.4548e-4 "Eastern pygmy possum" 10.3 acceptable 64.8 0.311
Cercartetus caudatus 0.0193 NA NA 7.3556e-4 "Long-tailed pygmy possum" NA low NA NA
Distoechurus pennatus 0.0454 NA NA 9.7384e-4 "Feather-tailed possum" NA low NA NA
Burramys parvus 0.0366 NA NA 0.001036 "Mountain pygmy possum" 12 acceptable 44.3 0.205
Pseudochirulus canescens 0.141 NA NA 0.0018648 NA NA NA NA NA
Pseudochirulus mayeri 0.125 NA NA 0.00208236 NA NA NA NA NA
Petaurus breviceps 0.0891 NA NA 0.00216524 "Sugar glider" 17.8 high 129.3 0.517
Pseudochirulus schlegeli 0.246 NA NA 0.0029008 NA NA NA NA NA
Gymnobelideus leadbeateri 0.0905 NA NA 0.0029526 "Leadbeater's possum" 14.1 acceptable 166 0.574
Petaurus norfolcensis 0.191 NA NA 0.00312872 "Squirrel glider" 14.8 acceptable NA NA
Hemibelideus lemuroides 0.496 NA NA 0.0032634 "Lemuroid ringtail possum" 5.4 acceptable NA NA
Pseudochirulus caroli 0.44 NA NA 0.0033152 NA NA NA NA NA
Pseudochirulus forbesi 0.523 NA NA 0.00348096 NA NA NA NA NA
Pseudochirulus herbertensis 0.9 NA NA 0.00447552 NA NA NA NA NA
Dactylonax tatei 0.252 NA NA 0.0046102 NA NA NA NA NA
Pseudocheirus peregrinus 0.526 NA NA 0.00468272 "Ring-tailed possum" 10.1 acceptable 859.3 2.27
Pseudochirops albertisii 0.713 NA NA 0.00484848 NA NA NA NA NA
Petauroides volans 0.9 NA NA 0.00485884 "Greater glider" NA low 1140.5 3.191
Petropseudes dahli 2 NA NA 0.005219368 NA NA NA NA NA
Pseudochirops coronatus 1.5 NA NA 0.00531468 NA NA NA NA NA
Pseudochirops corinnae 0.943 NA NA 0.00555296 NA NA NA NA NA
Petaurus australis 0.39 NA NA 0.00591556 "Yellow-bellied glider" 15 acceptable NA NA
Dactylonax trivirgata 0.506 NA NA 0.00603988 NA NA NA NA NA
Pseudochirops archeri 0.678 NA NA 0.00608132 NA NA NA NA NA
Phalanger lullulae 1.4 NA NA 0.00630924 NA NA NA NA NA
Potorous platyops 0.8 NA NA 0.0065268 NA NA NA NA NA
Dactylonax palpator 0.474 NA NA 0.00715876 NA NA NA NA NA
Lagostrophus fasciatus 0.773 NA NA 0.007252 "Banded hare-wallaby" NA low NA NA
Phalanger ornatus 1.448 NA NA 0.00727272 NA NA NA NA NA
Phalanger orientalis 1.485 NA NA 0.00763532 "Gray cuscus" NA low NA NA
Pseudochirops cupreus 1.021 NA NA 0.00781144 NA NA NA NA NA
Lagorchestes hirsutus 1.05 NA NA 0.00804972 "Rufous hare-wallaby" 13.2 acceptable NA NA
Phalanger mimicus 1.473 NA NA 0.0092204 NA NA NA NA NA
Phalanger carmelitae 1.754 NA NA 0.00879564 NA NA NA NA NA
Bettongia tropica 1.015 NA NA 0.00924112 "Northern bettong" NA low NA NA
Potorous tridactylus 1.283 NA NA 0.00987308 "Long-nosed potoroo" 14.5 acceptable 1045.5 2.556
Phalanger vestitus 1.85 NA NA 0.00988344 NA NA NA NA NA
Bettongia penicillata 0.981 NA NA 0.00990416 Woylie 18.8 acceptable 1018 3.132
Phalanger sericeus 1.896 NA NA 0.01031856 NA NA NA NA NA
Wyulda squamicaudata 1.5 NA NA 0.0104636 "Scaly-tailed possum" NA low NA NA
Onychogalea lunata 1.313 NA NA 0.0105672 NA NA NA NA NA
Bettongia lesueur 1.105 NA NA 0.010878 "Burrowing bettong" NA low NA NA
Petrogale concinna 1.407 NA NA 0.011396 Nabarlek 11.7 acceptable NA NA
Trichosurus vulpecula 1.902 NA NA 0.011396 "Brush-tailed possum" 15.9 acceptable 1993.5 3.8
Bettongia gaimardi 1.273 NA NA 0.0121212 "Tasmanian bettong" NA low 1385 3.578
Dorcopsulus vanheurni 1.546 NA NA 0.0122248 NA NA NA NA NA
Trichosurus caninus 2.515 NA NA 0.0122248 "Mountain brush-tailed possum" NA low NA NA
Aepyprymnus rufescens 1.693 NA NA 0.0127428 "Rufous 'rat'-kangaroo" 12.8 acceptable 2820 5.978
Lagorchestes leporides 1.598 NA NA 0.0130536 NA NA NA NA NA
Phalanger gymnotis 3.264 NA NA 0.013468 "Ground cuscus" 18.9 acceptable NA NA
Spilocuscus maculatus 3.127 NA NA 0.0138824 "Spotted cuscus" 17 acceptable 4250 6.27
Dorcopsulus macleayi 2.5 NA NA 0.013986 "Papuan mountain wallaby" 7.9 acceptable NA NA
Setonix brachyurus 1.931 NA NA 0.0144004 Quokka 13.8 acceptable 2702.3 4.695
Lagorchestes conspicillatus 2.015 NA NA 0.014504 "Spectacled hare-wallaby" 8.8 acceptable 2660 4.749
Onychogalea fraenata 3.484 NA NA 0.0152292 "Ridled nail-tailed wallaby" 7.4 acceptable NA NA
Petrogale brachyotis 2.494 NA NA 0.01554 "Western rock wallaby" 10.1 acceptable NA NA
Dorcopsis atrata 6.333 NA NA 0.0173012 NA NA NA NA NA
Onychogalea unguifera 5.242 NA NA 0.0173012 "Northern nail-tailed wallaby" 5.5 acceptable NA NA
Spilocuscus rufoniger 6.181 NA NA 0.0174048 NA NA NA NA NA
Petrogale mareeba 3.186 NA NA 0.017612 NA NA NA NA NA
Petrogale inornata 2.262 NA NA 0.017612 NA NA NA NA NA
Thylogale brunii 5 NA NA 0.01813 "Dusky pademelon" 9.4 acceptable NA NA
Petrogale assimilis 2.765 NA NA 0.01813 "Allied rock wallaby" NA low NA NA
Thylogale stigmatica 4.416 NA NA 0.0184408 "Red-legged pademelon" 9.7 acceptable NA NA
Petrogale godmani 3.276 NA NA 0.018648 NA NA NA NA NA
Thylogale browni 3.742 NA NA 0.0189588 NA NA NA NA NA
Dendrolagus bennettianus 2.078 NA NA 0.019166 "Bennett's tree kangaroo" NA low NA NA
Macropus parma 3.557 NA NA 0.0193732 "Parma wallaby" 15.9 high NA NA
Petrogale lateralis 3.61 NA NA 0.0198912 "Black-footed rock wallaby" NA low NA NA
Thylogale thetis 3.694 NA NA 0.0198912 "Red-necked pademelon" 9 acceptable NA NA
Phascolarctos cinereus 5.888 NA NA 0.0209272 Koala 22.1 high 4732.4 5.744
Dorcopsis muelleri 5.4 NA NA 0.0211344 "Brown dorcopsis" 12.4 acceptable NA NA
Dorcopsis luctuosa 7.392 NA NA 0.0213416 "Gray dorcopsis" 13.9 acceptable NA NA
Petrogale herberti 3.977 NA NA 0.0219632 NA NA NA NA NA
Petrogale persephone 5.732 NA NA 0.022274 NA NA NA NA NA
Thylogale billardieri 3.618 NA NA 0.0228956 NA NA NA NA NA
Dorcopsis hageni 6.43 NA NA 0.02331 NA NA NA NA NA
Petrogale xanthopus 4.65 NA NA 0.023828 "Ringtailed rock wallaby" 14.4 acceptable NA NA
Macropus eugenii 4.425 NA NA 0.0245532 "Tammar wallaby" 15.1 acceptable 4796 7.78
Petrogale penicillata 5.99 NA NA 0.0247604 "Brush-tailed rock wallaby" 14.3 acceptable NA NA
Macropus irma 4.684 NA NA 0.0255892 NA NA NA NA NA
Macropus greyi 9.016 NA NA 0.0259 NA NA NA NA NA
Dendrolagus lumholtzi 4.366 NA NA 0.0271432 NA NA NA NA NA
Dendrolagus ursinus 5.009 NA NA 0.0272468 "Black tree kangaroo" 20 acceptable NA NA
Dendrolagus matschiei 4.16 NA NA 0.02849 "Matschie's tree kangaroo" 26.9 acceptable 6960 7.96
Dendrolagus goodfellowi 5.968 NA NA 0.0294224 "Goodfellow's tree kangaroo" 23.6 acceptable NA NA
Dendrolagus spadix 4.947 NA NA 0.029526 NA NA NA NA NA
Dendrolagus scottae 8.666 NA NA 0.0302512 NA NA NA NA NA
Macropus dorsalis 8.728 NA NA 0.0302512 "Black-striped wallaby" NA low NA NA
Dendrolagus inustus 10.119 NA NA 0.0311836 "Grizzled tree kangaroo" 23.8 acceptable NA NA
